Imagem_Original,Imagem_Resultado,TAG_Lida,Tipo,Classe,Status
201.jpg,resultado_201.jpg,VFD,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,COMVEYDR,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,GCAR,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,FUUP,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,VETTICAL,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,MR,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,CCU,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,"(0,",Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,8,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,0,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,%,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,NOIT:,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,CLOEEDI,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,CIAP,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,CPER,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,#,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,J,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,7,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,THRLE WAY VALVE,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,1,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,CHECK VAIVE,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,5,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,PRLESURL KELLI,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,PAFSSURF,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,OACED,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,IPKAILC,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,IJECTO?,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,H,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,RELL,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,FOR,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,VANER,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,FRI,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,HUIC,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,TRAR,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,TR ?,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,FPELINE,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,A,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,RCUCE?,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,TEE,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,07,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,DT,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,XIF,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,VENIURI ORFLOW,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,PROPELLER 07,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,FLUME,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,WEIA,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,METER,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,THERVAL,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,"ELE""EI",Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,NCTIN,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,RADAR CA,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,ANNURAR,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,JAGLERLEVEL,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,NCIL,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,PMENT,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,FQUI,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,VALVES AND GATES,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,AND,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,PIPELINE DEVICES,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,DEVICE,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,PRIMARY ELEMENT,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,INSTRUMENT ELEMENT,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,"PIPING, VALVE AND EQUIPMENT SYMBOLS LEGEND",Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,AN,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,GE,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,IPME,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,IN,Não cadastrado,Não cadastrado,Desconhecido
201.jpg,resultado_201.jpg,PIP,Não cadastrado,Não cadastrado,Desconhecido
